Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Hobeni Clinic,Clinic,MoH,-32.1749999999999,28.8756999999999,GPS
South Africa,Eastern Cape,Hofmeyer Clinic,Clinic,MoH,-31.6557999999999,25.8039999999999,GPS
South Africa,Eastern Cape,Holy Cross Gateway Clinic,Clinic,MoH,-31.0811999999999,29.4954,GPS
South Africa,Eastern Cape,Holy Cross Hospital,District Hospital,MoH,-31.0811999999999,29.4953,GPS
South Africa,Eastern Cape,Horseshoe Clinic,Clinic,MoH,-32.2607,24.5363,GPS
South Africa,Eastern Cape,Horton Clinic,Clinic,MoH,-33.1126999999999,27.0215999999999,GPS
South Africa,Eastern Cape,Hukuwa Clinic,Clinic,MoH,-32.1554,26.6469999999999,GPS
South Africa,Eastern Cape,Humansdorp Clinic,Clinic,MoH,-34.0322,24.7684,GPS
South Africa,Eastern Cape,Humansdorp Hospital,District Hospital,MoH,-34.0302,24.7814,GPS
South Africa,Eastern Cape,Ibika Clinic,Clinic,MoH,-32.2834999999999,28.2205,GPS
South Africa,Eastern Cape,Idutywa Nqabara Clinic,Clinic,MoH,-32.1009,28.4538,GPS
South Africa,Eastern Cape,Idutywa Village CHC,Community Health Centre,MoH,-32.097,28.2990999999999,GPS
South Africa,Eastern Cape,Ikamvelihle Clinic,Clinic,MoH,-33.7931999999999,25.613,GPS
South Africa,Eastern Cape,Ilinge Clinic,Clinic,MoH,-31.9773,27.0401999999999,GPS
South Africa,Eastern Cape,Ilita Clinic,Clinic,MoH,-32.8898999999999,27.5337999999999,GPS
South Africa,Eastern Cape,Imidange Clinic,Clinic,MoH,-32.7796,27.4869999999999,GPS
South Africa,Eastern Cape,Imizamo Yetho Clinic,Clinic,MoH,-33.743,24.7974,GPS
