FacilityId,Ou3uid,FacilityName,Province,District,SubDistrict,Ou2Code,Ou3Code
399951,QAFeD9Y7ndl,mp Middelburg Ext 6 Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Steve Tshwete Local Municipality,827311,631203
585851,QAFeD9Y7ndl,mp Middelburg Ext 8 Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Steve Tshwete Local Municipality,827311,631203
373842,QAFeD9Y7ndl,mp Middelburg Gateway Clinic,mp Mpumalanga Province,mp Nkangala District Municipality,mp Steve Tshwete Local Municipality,827311,631203
147915,jV5WxrHYFzy,mp Middelplaas Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Nkomazi Local Municipality,827311,976421
774460,q7RiAE9fLwc,mp Mispel Street Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Lekwa Local Municipality,827311,334903
679360,jV5WxrHYFzy,mp Mjejane Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp City of Mbombela Local Municipality,827311,976421
640806,q7RiAE9fLwc,mp Mkhondo Town Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Mkhondo Local Municipality,827311,334903
387206,jV5WxrHYFzy,mp Mkhuhlu Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
886433,QAFeD9Y7ndl,mp Mmametlhake CHC,mp Mpumalanga Province,mp Nkangala District Municipality,mp Dr JS Moroka Local Municipality,827311,631203
208924,QAFeD9Y7ndl,mp Moloto CHC,mp Mpumalanga Province,mp Nkangala District Municipality,mp Thembisile Hani Local Municipality,827311,631203
425724,q7RiAE9fLwc,mp Mooiplaas Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Chief Albert Luthuli Local Municipality,827311,334903
674406,jV5WxrHYFzy,mp Moreipuso Clinic,mp Mpumalanga Province,mp Ehlanzeni District Municipality,mp Bushbuckridge Local Municipality,827311,976421
330224,q7RiAE9fLwc,mp Morgenzon Clinic,mp Mpumalanga Province,mp Gert Sibande District Municipality,mp Lekwa Local Municipality,827311,334903
